STT,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,Độ phân giải,Weight,Price
0,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.8,11690000.0
1,Lenovo,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.6,14390000.0
2,Lenovo,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.66,17490000.0
3,Acer,Intel Core i3-8130U,4 GB, 2400 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.7,10790000.0
4,Acer,Intel Core i5-1035G1,8 GB, 2400 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.7,15190000.0
6,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.69,11190000.0
7,HP,Intel Core i3-8130U,4 GB, 2666 MHz,256,0.0,On board,0,14,1920 x 1080,1.5,11190000.0
8,Asus,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.4,17290000.0
9,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,256,0.0,On board,0,14,1920 x 1080,1.41,18290000.0
10,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.79,10340000.0
11,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.69,11190000.0
12,Asus,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.73,10690000.0
13,HP,Intel Core i3-8130U,4 GB, 2666 MHz,256,0.0,On board,0,14,1920 x 1080,1.5,11190000.0
14,Acer,Intel Core i3-8130U,4 GB, 2400 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.7,10790000.0
15,Asus,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.4,17290000.0
17,Asus,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.4,16990000.0
18,Asus,Intel Core i3-1115G4,4 GB, 3200 MHz,512,0.0,On board,0,14,1920 x 1080,1.4,13490000.0
19,Asus,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0.0,NVIDIA GeForce MX330,2,15.6,1920 x 1080,1.73,16890000.0
20,HP,Intel Core i3-8130U,4 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.5,12190000.0
21,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,256,0.0,On board,0,15.6,1920 x 1080,1.7,18690000.0
22,Asus,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0.0,On board,0,14,1920 x 1080,1.47,15190000.0
23,Asus,Intel Core i3-1115G4,8 GB, 3200 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.8,14490000.0
24,Asus,Intel Pentium N5030 ,4 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.8,8790000.0
25,HP,Intel Core i5-10210U,8 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.7,16190000.0
26,Lenovo,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.79,14990000.0
27,HP,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0.0,On board,0,15.6,1920 x 1080,1.592,16690000.0
28,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,256,0.0,On board,0,14,1920 x 1080,1.41,18290000.0
29,Acer,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000.0,On board,0,15.6,1920 x 1080,2.0,14690000.0
30,Dell,Intel Core i7-10510U,8 GB, 2666 MHz,256,0.0,AMD Radeon 610R5,2,15.6,1920 x 1080,1.99,20490000.0
