,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Trọng lượng (kg),Price
0,Asus TUF Gaming FX506LI-HN039T/i5-10300H,Core i5,8 GB,SSD 512 GB,NVIDIA GeForce GTX1650Ti 4Gb,"15.6""",2.3,22.290.000 ₫
1,Asus TUF Gaming FX505DT-HN478T/R7-3750H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.2,19.090.000 ₫
2,Acer Aspire Gaming A715-41G-R150/R7-3750H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.1,19.790.000 ₫
3,MSI Bravo 15 A4DCR-070VN/R5 4600H,Ryzen 5,8 GB,SSD 512 GB,Radeon RX 5300M 3GB,"15.6""",1.96,19.490.000 ₫
4,Acer Aspire Gaming A715-41G-R282/R5-3550H,Ryzen 5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.1,18.790.000 ₫
5,Asus TUF Gaming FX505GT-HN111T/i5-9300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650-4GB,"15.6""",2.2,19.990.000 ₫
6,HP Pavilion Gaming 15-dk1083TX i5 10300H/206R0PA,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.3,22.290.000 ₫
7,Dell Gaming G3 15 3500 i5 10300H/70223130,Core i5,8 GB,HDD 1000 GB & SSD 256 GB,GeForce GTX 1650 4GB,"15.6""",2.34,21.990.000 ₫
8,ASUS TUF Gaming FX505DT-HN488T/R5-3550H,Ryzen 5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.14,18.090.000 ₫
9,Asus Strix G531GT-HN553T/I5-9300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.42,22.590.000 ₫
10,MSI Leopard Gaming GL65 10SCXK-089VN/i7-10750H,Core i7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.3,24.590.000 ₫
11,MSI GF63 Thin 10SCXR-427VN/Core i5-10300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 MaxQ 4GB,"15.6""",1.86,21.190.000 ₫
12,HP Pavilion Gaming 15 ec1054AX R5 4600H/1N1H6PA,Ryzen 5,8 GB,HDD 1000 GB & SSD 128 GB,GeForce GTX 1650 4GB,"15.6""",1.98 Kg,19.590.000 ₫
13,HP Pavilion Gaming 15-ec0050AX/R5-3550H,Ryzen 5,8 GB,HDD 1000 GB & SSD 128 GB,GeForce GTX 1650 4GB,"15.6""",1.98,19.590.000 ₫
14,Lenovo Legion Y540-15IRH/i7-9750H,Core i7,8 GB,SSD 1000 GB,GeForce GTX 1650 4GB,"15.6""",2.3,26.790.000 ₫
15,Asus TUF FA506II-AL016T/R7-4800H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.3,23.690.000 ₫
16,Acer Nitro Gaming 5 AN515 54 595D/i5-9300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.3,21.790.000 ₫
17,MTXT MSI GF63 9SCXR i5 9300H/075VN,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",1.86,18.690.000 ₫
18,Asus TUF FA506II-AL012T/R5-4600H,Ryzen 5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.3,22.190.000 ₫
19,ACER Aspire Gaming 7 A715-41G-R1AZ/R7-3750H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.1,19.990.000 ₫
20,Asprire A515-53-50ZD/Core i5-8265U/NX.H6DSV.001,Core i5,4 GB,,Card Onboard,"15.6""",2.072,9.790.000 ₫
21,Dell Vostro V5581/Core i5-8265U/70194504,Core i5,4 GB,,Card Onboard,"15.6""",1.9,14.990.000 ₫
22,HP Pavilion 14-ce2036TU/Core i3-8145U,Core i3,4 GB,HDD 500 GB,Intel QHD Graphics 620,"14.0""",1.53,10.690.000 ₫
23,Acer Aspire A315 56 37DV i3 1005G1/Đen/NX.HS5SV.001,Core i3,4 GB,SSD 256 GB,Card Onboard,"15.6""",1.7,9.890.000 ₫
24,Lenovo IdeaPad S145-15IIL i3 1005G1/81W800R2VN,Core i3,4 GB,SSD 256 GB,Card Onboard,"15.6""",1.85,9.990.000 ₫
25,Acer Aspire 3 A315 23 R0ML/R3 3250U/NX.HVUSV.004,Ryzen 3,4 GB,SSD 512 GB,Card Onboard,"15.6""",1.7,10.290.000 ₫
26,Lenovo IdeaPad S145-14IKB/i3 8130U,Core i3,4 GB,SSD 512 GB,Intel HD Graphics 620,"14.0""",1.85,10.290.000 ₫
27,Dell XPS 15 9500 i7 10750H/70221010,Core i7,16 GB,SSD 512 GB,GTX 1650 Ti 4GB,"15.6""",2.05,61.990.000 ₫
28,"MacBook Pro 16"" 2019 Touch Bar 2.6GHz Core i7 512GB",Core i7,16 GB,SSD 512 GB,Radeon Pro 5300M 4GB,"16.0""",2.0,59.990.000 ₫
29,"MacBook Pro 13"" 2019 Touch Bar 2.4GHz Core i5 512GB",Core i5,8 GB,SSD 512 GB,,"13.3""",1.37,51.990.000 ₫
30,ASUS Expertbook B9450FA-BM0616R/ i7-10510U,Core i7,16 GB,SSD 1 TB,Intel HD Graphics 620,"14.0""",0.996 kg,49.990.000 ₫
31,"MacBook Pro 13"" 2020 Touch Bar 2.0GHz Core i5 512GB",Core i5,16 GB,SSD 512 GB,Intel Iris Plus Graphics,"13.3""",1.4,47.990.000 ₫
32,HP Spectre x360 13,Core i7,16 GB,SSD 512 GB,Intel Iris Plus Graphics,"13.3""",1.3,47.490.000 ₫
33,Lenovo ThinkPad X1 Carbon 8 i7 10510U,Core i7,16 GB,,Intel UHD Graphics,"14.0""",1.1,44.990.000 ₫
34,Lenovo ThinkPad X1 Carbon 8 i5 10210U,Core i5,16 GB,,Card Onboard,"14.0""",1.1,42.990.000 ₫
35,Asus Zenbook Flip UX371EA-HL701TS i7 1165G7,Core i7,16 GB,SSD 1 TB,Intel Iris Xe Graphics,"13.3""",1.2,39.990.000 ₫
36,Dell XPS 13 9310 i5 1135G7,Core i5,8 GB,SSD 256 GB,Intel Iris Xe Graphics,"13.4""",1.32,38.990.000 ₫
37,Dell XPS 13 9310 i5 1135G7,Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"13.3""",1.26,38.590.000 ₫
38,ASUS Expertbook B9450FA-BM0324T i5-10210U,Core i5,8 GB,,Intel HD Graphics,"14.0""",0.996 kg,37.990.000 ₫
