,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Hệ điều hành,Pin,Trọng lượng,Màu sắc,Kích thước,Price
0,"Laptop LG Gram 2020 14Z90N-V.AR52A5 (i5-1035G7 | 8GB | 256GB | Intel Iris Plus Graphics | 14"" FHD | Win 10)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","256GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"14"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Windows 10 Home,4 Cell 72WHr (9.450mAh),999 g,Dark Silver,323.4 x 209.8 x 16.8mm,"27,990,000₫"
1,"Laptop LG Gram 2020 17Z90N-V.AH75A5 (i7-1065G7 | 8GB | 512GB | Intel Iris Plus Graphics | 17"" WQXGA | Win 10)",Intel Core i7-1065G7 1.30GHz up to 3.90GHz,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"17"" WQXGA (2560 x 1600) IPS",Windows 10 Home,80WHr 10.336mAh,1.350 g,Dark Silver,380.6 x 262.6 x 17.4 mm,"35,990,000₫"
2,"Laptop LG Gram 2020 15Z90N-V.AR55A5 (i5-1035G7 | 8GB | 512GB | Intel Iris Plus Graphics | 15.6"" FHD | Win 10)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"15"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Windows 10 Home,80WHr 10.336mAh,1.120 g,Dark Silver,357.6 x 225.3 x 16.8 mm,"31,990,000₫"
3,"Laptop LG Gram 2020 14ZD90N-V.AX53A5 (i5-1035G7 | 8GB | 256GB | Intel Iris Plus Graphics | 14"" FHD | DOS)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","256GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"14"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Free DOS,4 Cell 72WHr (9.450mAh),999 g,White,323.4 x 209.8 x 16.8mm,"24,990,000₫"
4,"Laptop LG Gram 2020 14ZD90N-V.AX55A5 (i5-1035G7 | 8GB | 512GB | Intel Iris Plus Graphics | 14"" FHD | DOS)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"14"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Free DOS,4 Cell 72WHr (9.450mAh),999 g,Dark Silver,323.4 x 209.8 x 16.8mm,"26,990,000₫"
5,"Laptop LG Gram 2020 15ZD90N-V.AX56A5 (i5-1035G7 | 8GB | 512GB | Intel Iris Plus Graphics | 15.6"" FHD | DOS)",Intel Core i5-1035G7 1.2GHz up to 3.7GHz 6MB,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)","512GB PCIe® NVMe™ M.2 SSD (2 slot, còn trống 1 khe SSD)",Intel® Iris® Plus Graphics,"15"" FHD (1920 x 1080) IPS, sRGB 96%, 300nits",Free DOS,80WHr 10.336mAh,1.120 g,White,357.6 x 225.3 x 16.8 mm,"28,990,000₫"
6,"Laptop Acer Predator Helios 300 PH315-52-75R6 (i7-9750H | 16GB | 512GB | VGA RTX 2060 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,"16GB (8x2) DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD M.2 PCIE G3X4 (Support RAID 0) (2 slots),NVIDIA GeForce RTX 2060 6GB GDDR6,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 72% NTSC, 100% sRGB, 144Hz, 3ms, 300nits",Windows 10 Home,4 Cell 48 WHrs,2.4 kg,Abyssal Black,361.4 x 254.15 x 22.9 (mm),"35,990,000₫"
7,"Laptop MSI GF63 Thin 9SCSR-846VN (i7-9750H | 8GB | 512GB | VGA GTX 1650Ti 4GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)","512GB SSD M.2 PCIE, x1 slot 2.5"" SATA3",NVIDIA GeForce GTX 1650Ti 4GB GDDR5 with Max-Q Design + Intel UHD Graphics 630,"15.6"" FHD (1920 x 1080) IPS, 144Hz, Thin Bezel, Anti-Glare ",Windows 10 Home,3 Cell 51WHr,1.86 kg,Đen,359 x 254 x 21.7 mm,"21,990,000₫"
8,"Laptop MSI GF63 Thin 9SC-070VN (i7-9750H | 8GB | 256GB | VGA GTX 1650 4GB | 15.6"" FHD | Win 10)",Intel Core i7-9750H 2.6GHz up to 4.5GHz 12MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)","256GB SSD M.2 PCIE, x1 slot 2.5"" SATA3",NVIDIA GeForce GTX 1650 4GB GDDR5 with Max-Q Design + Intel UHD Graphics 630,"15.6"" FHD (1920 x 1080) IPS, 60Hz, Thin Bezel, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cell 51WHr,1.86 kg,Đen,359 x 254 x 21.7 mm,"20,990,000₫"
9,"Laptop MSI GF63 9SC-400VN (i5-9300H | 8GB | 256GB | VGA GTX 1650 4GB | 15.6"" FHD | Win 10)",Intel Core i5-9300H 2.4GHz up to 4.1GHz 8MB,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)",256GB SSD M.2 PCIE,NVIDIA GeForce GTX 1650 4GB GDDR5 with Max-Q Design + Intel UHD Graphics 630,"15.6"" FHD (1920 x 1080) IPS, 60Hz, Thin Bezel, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cell 51WHr,1.86 kg,Đen,359 x 254 x 21.7 mm,"17,990,000₫"
10,Laptop ASUS VivoBook S533EQ-BQ041T (i7-1165G7 | 16GB | 512GB | VGA MX350 2GB | 15.6'' FHD | Win 10),Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,16GB DDR4 3200MHz Onboard,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce MX350 2GB GDDR5 + Intel Iris Xe Graphics,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cells 50WHrs,1.8 kg,Đen,35.98 x 23.38 x 1.61 (cm),"23,990,000₫"
11,Laptop ASUS VivoBook S533EQ-BQ011T (i5-1135G7 | 8GB | 512GB | VGA MX350 2GB | 15.6'' FHD | Win 10),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB DDR4 3200MHz Onboard,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce MX350 2GB GDDR5 + Intel Iris Xe Graphics,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 45% NTSC",Windows 10 Home,3 Cells 50WHrs,1.8 kg,Đen,35.98 x 23.38 x 1.61 (cm),"21,290,000₫"
12,"Laptop Acer Nitro 5 2020 AN515-55-55E3 (i5-10300H | 16GB | 512GB | VGA RTX 2060 6GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i5-10300H 2.5GHz up to 4.5GHz 8MB,"16GB DDR4 2933MHz (2x SO-DIMM socket, up to 32GB SDRAM)","512GB SSD M.2 PCIE (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",NVIDIA GeForce RTX 2060 6GB GDDR6 ,"15.6"" FHD (1920 x 1080)  IPS, Anti-Glare, 144Hz, 3ms, 100% sRGB",Windows 10 Home,4 Cell 57.5WHr,2.30 kg,Đen,363.4 x 255 x 23.9 mm,"28,490,000₫"
13,"Laptop ASUS ExpertBook B9450FA-BM0324T (i5-10210U | 8GB | 512GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,8GB LDDR3 Onboard,Còn trống 1 khe SSD M.2 PCIE),Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS with Anti-Glare, 72% NTSC, 100% sRGB, 300nits",Windows 10 Home,4 Cell 66WHr Lithium-Polymer,995g,"Xám nhôm, Blacklit keyboard",320 x 203 x 14.9 (mm),"32,990,000₫"
14,"Laptop HP Pavilion 15-eg0007TU (2D9K4PA) (i3-1115G4 | 4GB | 256GB | Intel UHD Graphics | 15.6"" FHD | Win 10 + Office)",Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,"4GB DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",256GB PCIe® NVMe™ M.2 SSD,Intel UHD Graphics for 11th Gen Intel® Processors,"15.6"" FHD (1920 x 1080) IPS, Anti-Glare with 45% NTSC, 250 nits",Windows 10 Home + Microsoft Office Home and Student 2019,3 Cell 41WHr,1.75 kg,Xám,36.02 x 23.4 x 1.79 cm,"14,190,000₫"
15,"Laptop MSI Modern 14 B10MW-427VN (i3-10110U | 8GB | 256GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i3-10110U 2.1GHz up to 4.1GHz 4MB,"8GB DDR4 3200MHz (1x SO-DIMM socket, up to 32GB SDRAM)",256GB PCIe NVMe™ M.2 SSD,Intel UHD Graphics,"14"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel, 65% sRGB",Windows 10 Home,3 Cell 52WHr,1.29 kg,Carbon Gray,319 x 220.2 x 16.9 (mm),"13,990,000₫"
16,"Laptop MSI Modern 15 A11M-099VN (i5-1135G7 | 8GB | 512GB | Intel Iris Xe Graphics | 15.6"" FHD | Win 10)",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",512GB PCIe NVMe™ M.2 SSD (2 slots),Intel Iris Xe Graphics,"15.6"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel",Windows 10 Home,3 Cell 52WHr,1.6 kg,Urban Silver,356.8 x 233.75 x 16.9 (mm),"18,990,000₫"
17,"Laptop ASUS ROG Strix G15 G512-IAL011T (i7-10750H | 8GB | 512GB | VGA GTX 1650Ti 4GB | 15.6"" FHD 144Hz | Win 10)",Intel Core i7-10750H 2.6GHz up to 5.0GHz 12MB,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD PCIE G3X4 (Còn trống 2 khe SSD M.2 PCIE/ SATA3),NVIDIA GeForce GTX 1650Ti 4GB GDDR6 + Intel UHD Graphics,"15.6"" FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 45% NTSC, 67% sRGB",Windows 10 Home,3 Cell 48WHr,2.3 kg,Xanh,360 x 275 x 21~25.8 (mm),"25,990,000₫"
