STT,CPU,RAM,Ổ cứng,Đồ họa,Màn hình,Trọng lượng (kg),Hệ điều hành,Name,Price
0,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, LED Backlit",2.3,Windows 10,Asus TUF Gaming FX506LI-HN039T/i5-10300H,22.290.000 ₫
1,AMD Ryzen 7-3750H,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.2,Windows 10,Asus TUF Gaming FX505DT-HN478T/R7-3750H,19.090.000 ₫
2,AMD Ryzen 7-3750H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon RX Graphics Vega 10,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.1,Windows 10,Acer Aspire Gaming A715-41G-R150/R7-3750H,19.790.000 ₫
3,AMD Ryzen 5-4600H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon RX 5300M 3 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.96,Windows 10,MSI Bravo 15 A4DCR-070VN/R5 4600H,19.490.000 ₫
4,AMD Ryzen 5-3550H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon RX Graphics Vega 10,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.1,Windows 10,Acer Aspire Gaming A715-41G-R282/R5-3550H,18.790.000 ₫
5,Intel Core i5-9300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.2,Windows 10,Asus TUF Gaming FX505GT-HN111T/i5-9300H,19.990.000 ₫
6,Intel Core i5-10300H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare WLED-backlit",2.3,Windows 10,HP Pavilion Gaming 15-dk1083TX i5 10300H/206R0PA,22.290.000 ₫
7,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",HDD 1000 GB & SSD 256 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare WLED-backlit",2.34,Windows 10,Dell Gaming G3 15 3500 i5 10300H/70223130,21.990.000 ₫
8,AMD Ryzen 5-3550H,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics Vega 8,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, LED Backlit",2.14,Windows 10,ASUS TUF Gaming FX505DT-HN488T/R5-3550H,18.090.000 ₫
9,Intel Core i5-9300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.42,Windows 10,Asus Strix G531GT-HN553T/I5-9300H,22.590.000 ₫
