,CPU,Chip đồ họa,RAM,Màn hình,Lưu trữ,Kích thước,Khối lượng
0,"Intel Core i7-1165G7 ( 4.7 GHz / 12MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,8GB Onboard DDR4 3200MHz Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , Màn hình gương , HD webcam",512GB SSD M.2 NVMe /,32.06 x 20.818 x 1.49 cm,1.4 kg
1,"Intel Core i7-1165G7 ( 4.7 GHz / 12MB / 4 nhân, 8 luồng )",NVIDIA GeForce MX450 2GB GDDR5 / Intel Iris Xe Graphics,1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,35.94 x 23.39 x 1.99 cm,1.7 kg
2,"Intel Core i7-1165G7 ( 4.7 GHz / 12MB / 4 nhân, 8 luồng )",NVIDIA GeForce MX450 2GB GDDR5 / Intel Iris Xe Graphics,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,35.94 x 23.39 x 1.99 cm,1.7 kg
3,"Intel Core i7-1165G7 ( 4.7 GHz / 12MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,35.94 x 23.39 x 1.99 cm,1.7 kg
4,"Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , Màn hình chống lóa , HD webcam",256GB SSD M.2 NVMe /,35.94 x 23.39 x 1.99 cm,1.7 kg
5,"Intel Core i3-1115G4 ( 4.1 GHz / 6MB / 2 nhân, 4 luồng )",Intel UHD Graphics,1 x 4GB Onboard DDR4 3200MHz Không nâng cấp được ),"14"" ( 1920 x 1080 ) Full HD IPS không cảm ứng , HD webcam",256GB SSD M.2 NVMe /,32.49 x 21.5 x 1.79 cm,1.4 kg
6,"Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",Intel Iris Xe Graphics,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,35.61 x 23.45 x 1.79 cm,1.6 kg
7,"Intel Core i5-1135G7 ( 4.2 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce MX330 2GB GDDR5 / Intel Iris Xe Graphics,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,35.61 x 23.45 x 1.79 cm,1.6 kg
8,"Intel Core i7-1165G7 ( 4.7 GHz / 12MB / 4 nhân, 8 luồng )",NVIDIA GeForce MX330 2GB GDDR5 / Intel Iris Xe Graphics,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"14"" ( 1920 x 1080 ) Full HD IPS cảm ứng , HD webcam",512GB SSD M.2 NVMe /,32.43 x 22.29 x 1.894 cm,1.5 kg
9,"Intel Core i5-10300H ( 2.5 GHz - 4.5 GHz / 8MB / 4 nhân, 8 luồng )",NVIDIA GeForce GTX 1650 4GB GDDR6 / Intel UHD Graphics,8GB Onboard DDR4 2933MHz ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),"15.6"" ( 1920 x 1080 ) Full HD WVA không cảm ứng , Màn hình chống lóa , HD webcam",512GB SSD M.2 NVMe /,35.61 x 23.45 x 1.89 cm,1.9 kg
